Data	Energia Esperad kWh		Curva de carga kWh		Diferencia	%
2020-09-01 01:00:00+0200	0,000000000		0			#DIV/0!
2020-09-01 02:00:00+0200	0,000000000		0			#DIV/0!
2020-09-01 03:00:00+0200	0,000000000		0			#DIV/0!
2020-09-01 04:00:00+0200	0,000000000		0			#DIV/0!
2020-09-01 05:00:00+0200	0,000000000		0			#DIV/0!
2020-09-01 06:00:00+0200	0,000000000		0			#DIV/0!
2020-09-01 07:00:00+0200	0,000000000		0			#DIV/0!
2020-09-01 08:00:00+0200	0,000000000		0			#DIV/0!
2020-09-01 09:00:00+0200	0,000000000		34			#DIV/0!
2020-09-01 10:00:00+0200	0,000000000		212			#DIV/0!
2020-09-01 11:00:00+0200	0,000000000		237			#DIV/0!
2020-09-01 12:00:00+0200	0,000000000		460			#DIV/0!
2020-09-01 13:00:00+0200	0,000000000		678			#DIV/0!
2020-09-01 14:00:00+0200	0,000000000		1026			#DIV/0!
2020-09-01 15:00:00+0200	0,000000000		1001			#DIV/0!
2020-09-01 16:00:00+0200	200,030347833		1005			5,02423762637781
2020-09-01 17:00:00+0200	1258,368792870		1012			0,804215747985851
2020-09-01 18:00:00+0200	1071,729523050		878			0,819236552802361
2020-09-01 19:00:00+0200	705,750237688		577			0,817569685686853
2020-09-01 20:00:00+0200	305,198815958		238			0,779819539118895
2020-09-01 21:00:00+0200	48,135168122		28			0,58169527795577
2020-09-01 22:00:00+0200	0,000000000		0			#DIV/0!
2020-09-01 23:00:00+0200	0,000000000		0			#DIV/0!
2020-09-02 00:00:00+0200	0,000000000		0			#DIV/0!
2020-09-02 01:00:00+0200	0,000000000		0			#DIV/0!
2020-09-02 02:00:00+0200	0,000000000		0			#DIV/0!
2020-09-02 03:00:00+0200	0,000000000		0			#DIV/0!
2020-09-02 04:00:00+0200	0,000000000		0			#DIV/0!
2020-09-02 05:00:00+0200	0,000000000		0			#DIV/0!
2020-09-02 06:00:00+0200	0,000000000		0			#DIV/0!
2020-09-02 07:00:00+0200	0,000000000		0			#DIV/0!
2020-09-02 08:00:00+0200	0,000000000		0			#DIV/0!
2020-09-02 09:00:00+0200	56,992054688		41			0,719398523605378
2020-09-02 10:00:00+0200	352,862729587		266			0,753834218511356
2020-09-02 11:00:00+0200	764,331163617		610			0,798083381964085
2020-09-02 12:00:00+0200	1108,758580870		898			0,809914814183782
2020-09-02 13:00:00+0200	1354,079736870		1095			0,80866729645562
2020-09-02 14:00:00+0200	1500,578900620		1207			0,804356238449907
2020-09-02 15:00:00+0200	1551,206558420		1239			0,798733085077978
2020-09-02 16:00:00+0200	1480,610776870		1191			0,804397765169429
2020-09-02 17:00:00+0200	1307,590352460		1061			0,811416203862254
2020-09-02 18:00:00+0200	1046,973545790		856			0,817594678912446
2020-09-02 19:00:00+0200	702,365716650		572			0,814390546748506
2020-09-02 20:00:00+0200	309,959978979		241			0,77751973268887
2020-09-02 21:00:00+0200	42,836613008		26			0,606957417360758
2020-09-02 22:00:00+0200	0,000000000		0			#DIV/0!
2020-09-02 23:00:00+0200	0,000000000		0			#DIV/0!
2020-09-03 00:00:00+0200	0,000000000		0			#DIV/0!
2020-09-03 01:00:00+0200	0,000000000		0			#DIV/0!
2020-09-03 02:00:00+0200	0,000000000		0			#DIV/0!
2020-09-03 03:00:00+0200	0,000000000		0			#DIV/0!
2020-09-03 04:00:00+0200	0,000000000		0			#DIV/0!
2020-09-03 05:00:00+0200	0,000000000		0			#DIV/0!
2020-09-03 06:00:00+0200	0,000000000		0			#DIV/0!
2020-09-03 07:00:00+0200	0,000000000		0			#DIV/0!
2020-09-03 08:00:00+0200	0,000000000		0			#DIV/0!
2020-09-03 09:00:00+0200	59,134769916		39			0,659510471685755
2020-09-03 10:00:00+0200	361,223578275		269			0,744691144704873
2020-09-03 11:00:00+0200	779,202279500		620			0,795685557282818
2020-09-03 12:00:00+0200	1135,121613510		917			0,807842956284192
2020-09-03 13:00:00+0200	1386,767906170		1118			0,806191140583655
2020-09-03 14:00:00+0200	1530,688936460		1225			0,800293234517679
2020-09-03 15:00:00+0200	1565,521794370		1255			0,801649650942764
2020-09-03 16:00:00+0200	1487,982331080		1189			0,799068628144936
2020-09-03 17:00:00+0200	1307,999229370		1052			0,804281819421788
2020-09-03 18:00:00+0200	1049,223314830		854			0,813935401481589
2020-09-03 19:00:00+0200	703,400126817		570			0,810349583784329
2020-09-03 20:00:00+0200	303,659872708		235			0,773892177139837
2020-09-03 21:00:00+0200	42,815277726		24			0,560547572608963
2020-09-03 22:00:00+0200	0,000000000		0			#DIV/0!
2020-09-03 23:00:00+0200	0,000000000		0			#DIV/0!
2020-09-04 00:00:00+0200	0,000000000		0			#DIV/0!
2020-09-04 01:00:00+0200	0,000000000		0			#DIV/0!
2020-09-04 02:00:00+0200	0,000000000		0			#DIV/0!
2020-09-04 03:00:00+0200	0,000000000		0			#DIV/0!
2020-09-04 04:00:00+0200	0,000000000		0			#DIV/0!
