Dia	Hora	Temperatura modul	Irradiación (W/m2)	Isc en el W/m2	Isc temperatura	Voc temp.	Imp temp	Vmp temp	P unitaria temp	Potencia parque calculada con temperatura kW	Potencia instantanea inversors kW	Diferencia inversors vs Pcalculada	Potencia instanea a comptador	PR  %
01/01/2020	0:05	7	0	0	0	40,195008	0	32,113472	0	0	0	0,00%	0	0,00%
01/01/2020	0:10	7	0	0	0	40,195008	0	32,113472	0	0	0	0,00%	0	0,00%
01/01/2020	0:15	7	0	0	0	40,195008	0	32,113472	0	0	0	0,00%	0	0,00%
01/01/2020	0:20	7	0	0	0	40,195008	0	32,113472	0	0	0	0,00%	0	0,00%
01/01/2020	0:25	7	0	0	0	40,195008	0	32,113472	0	0	0	0,00%	0	0,00%
01/01/2020	0:30	7	0	0	0	40,195008	0	32,113472	0	0	0	0,00%	0	0,00%
01/01/2020	0:35	7	0	0	0	40,195008	0	32,113472	0	0	0	0,00%	0	0,00%
01/01/2020	0:40	7	0	0	0	40,195008	0	32,113472	0	0	0	0,00%	0	0,00%
01/01/2020	0:45	7	0	0	0	40,195008	0	32,113472	0	0	0	0,00%	0	0,00%
01/01/2020	0:50	7	0	0	0	40,195008	0	32,113472	0	0	0	0,00%	0	0,00%
01/01/2020	0:55	7	0	0	0	40,195008	0	32,113472	0	0	0	0,00%	0	0,00%
01/01/2020	1:00	7	0	0	0	40,195008	0	32,113472	0	0	0	0,00%	0	0,00%
01/01/2020	1:05	7	0	0	0	40,195008	0	32,113472	0	0	0	0,00%	0	0,00%
01/01/2020	1:10	7	0	0	0	40,195008	0	32,113472	0	0	0	0,00%	0	0,00%
01/01/2020	1:15	6	0	0	0	40,328064	0	32,219776	0	0	0	0,00%	0	0,00%
01/01/2020	1:20	6	0	0	0	40,328064	0	32,219776	0	0	0	0,00%	0	0,00%
01/01/2020	1:25	6	0	0	0	40,328064	0	32,219776	0	0	0	0,00%	0	0,00%
01/01/2020	1:30	5	0	0	0	40,46112	0	32,32608	0	0	0	0,00%	0	0,00%
01/01/2020	1:35	5	0	0	0	40,46112	0	32,32608	0	0	0	0,00%	0	0,00%
01/01/2020	1:40	5	0	0	0	40,46112	0	32,32608	0	0	0	0,00%	0	0,00%
01/01/2020	1:45	4	0	0	0	40,594176	0	32,432384	0	0	0	0,00%	0	0,00%
01/01/2020	1:50	4	0	0	0	40,594176	0	32,432384	0	0	0	0,00%	0	0,00%
01/01/2020	1:55	4	0	0	0	40,594176	0	32,432384	0	0	0	0,00%	0	0,00%
01/01/2020	2:00	3	0	0	0	40,727232	0	32,538688	0	0	0	0,00%	0	0,00%
01/01/2020	2:05	3	0	0	0	40,727232	0	32,538688	0	0	0	0,00%	0	0,00%
01/01/2020	2:10	3	0	0	0	40,727232	0	32,538688	0	0	0	0,00%	0	0,00%
01/01/2020	2:15	3	0	0	0	40,727232	0	32,538688	0	0	0	0,00%	0	0,00%
01/01/2020	2:20	3	0	0	0	40,727232	0	32,538688	0	0	0	0,00%	0	0,00%
01/01/2020	2:25	3	0	0	0	40,727232	0	32,538688	0	0	0	0,00%	0	0,00%
01/01/2020	2:30	3	0	0	0	40,727232	0	32,538688	0	0	0	0,00%	0	0,00%
01/01/2020	2:35	3	0	0	0	40,727232	0	32,538688	0	0	0	0,00%	0	0,00%
01/01/2020	2:40	3	0	0	0	40,727232	0	32,538688	0	0	0	0,00%	0	0,00%
01/01/2020	2:45	3	0	0	0	40,727232	0	32,538688	0	0	0	0,00%	0	0,00%
01/01/2020	2:50	3	0	0	0	40,727232	0	32,538688	0	0	0	0,00%	0	0,00%
01/01/2020	2:55	3	0	0	0	40,727232	0	32,538688	0	0	0	0,00%	0	0,00%
01/01/2020	3:00	3	0	0	0	40,727232	0	32,538688	0	0	0	0,00%	0	0,00%
01/01/2020	3:05	2	0	0	0	40,860288	0	32,644992	0	0	0	0,00%	0	0,00%
01/01/2020	3:10	2	0	0	0	40,860288	0	32,644992	0	0	0	0,00%	0	0,00%
01/01/2020	3:15	2	0	0	0	40,860288	0	32,644992	0	0	0	0,00%	0	0,00%
01/01/2020	3:20	2	0	0	0	40,860288	0	32,644992	0	0	0	0,00%	0	0,00%
01/01/2020	3:25	2	0	0	0	40,860288	0	32,644992	0	0	0	0,00%	0	0,00%
01/01/2020	3:30	2	0	0	0	40,860288	0	32,644992	0	0	0	0,00%	0	0,00%
01/01/2020	3:35	1	0	0	0	40,993344	0	32,751296	0	0	0	0,00%	0	0,00%
01/01/2020	3:40	1	0	0	0	40,993344	0	32,751296	0	0	0	0,00%	0	0,00%
01/01/2020	3:45	1	0	0	0	40,993344	0	32,751296	0	0	0	0,00%	0	0,00%
01/01/2020	3:50	1	0	0	0	40,993344	0	32,751296	0	0	0	0,00%	0	0,00%
01/01/2020	3:55	1	0	0	0	40,993344	0	32,751296	0	0	0	0,00%	0	0,00%
01/01/2020	4:00	1	0	0	0	40,993344	0	32,751296	0	0	0	0,00%	0	0,00%
01/01/2020	4:05	1	0	0	0	40,993344	0	32,751296	0	0	0	0,00%	0	0,00%
01/01/2020	4:10	1	0	0	0	40,993344	0	32,751296	0	0	0	0,00%	0	0,00%
01/01/2020	4:15	1	0	0	0	40,993344	0	32,751296	0	0	0	0,00%	0	0,00%
01/01/2020	4:20	1	0	0	0	40,993344	0	32,751296	0	0	0	0,00%	0	0,00%
01/01/2020	4:25	1	0	0	0	40,993344	0	32,751296	0	0	0	0,00%	0	0,00%
01/01/2020	4:30	1	0	0	0	40,993344	0	32,751296	0	0	0	0,00%	0	0,00%
01/01/2020	4:35	1	0	0	0	40,993344	0	32,751296	0	0	0	0,00%	0	0,00%
01/01/2020	4:40	1	0	0	0	40,993344	0	32,751296	0	0	0	0,00%	0	0,00%
01/01/2020	4:45	1	0	0	0	40,993344	0	32,751296	0	0	0	0,00%	0	0,00%
01/01/2020	4:50	1	0	0	0	40,993344	0	32,751296	0	0	0	0,00%	0	0,00%
01/01/2020	4:55	1	0	0	0	40,993344	0	32,751296	0	0	0	0,00%	0	0,00%
01/01/2020	5:00	1	0	0	0	40,993344	0	32,751296	0	0	0	0,00%	0	0,00%
01/01/2020	5:05	1	0	0	0	40,993344	0	32,751296	0	0	0	0,00%	0	0,00%
01/01/2020	5:10	1	0	0	0	40,993344	0	32,751296	0	0	0	0,00%	0	0,00%
01/01/2020	5:15	1	0	0	0	40,993344	0	32,751296	0	0	0	0,00%	0	0,00%
01/01/2020	5:20	1	0	0	0	40,993344	0	32,751296	0	0	0	0,00%	0	0,00%
01/01/2020	5:25	1	0	0	0	40,993344	0	32,751296	0	0	0	0,00%	0	0,00%
01/01/2020	5:30	1	0	0	0	40,993344	0	32,751296	0	0	0	0,00%	0	0,00%
01/01/2020	5:35	1	0	0	0	40,993344	0	32,751296	0	0	0	0,00%	0	0,00%
01/01/2020	5:40	1	0	0	0	40,993344	0	32,751296	0	0	0	0,00%	0	0,00%
01/01/2020	5:45	1	0	0	0	40,993344	0	32,751296	0	0	0	0,00%	0	0,00%
01/01/2020	5:50	1	0	0	0	40,993344	0	32,751296	0	0	0	0,00%	0	0,00%
01/01/2020	5:55	1	0	0	0	40,993344	0	32,751296	0	0	0	0,00%	0	0,00%
01/01/2020	6:00	1	0	0	0	40,993344	0	32,751296	0	0	0	0,00%	0	0,00%
01/01/2020	6:05	1	0	0	0	40,993344	0	32,751296	0	0	0	0,00%	0	0,00%
01/01/2020	6:10	1	0	0	0	40,993344	0	32,751296	0	0	0	0,00%	0	0,00%
01/01/2020	6:15	1	0	0	0	40,993344	0	32,751296	0	0	0	0,00%	0	0,00%
01/01/2020	6:20	1	0	0	0	40,993344	0	32,751296	0	0	0	0,00%	0	0,00%
01/01/2020	6:25	1	0	0	0	40,993344	0	32,751296	0	0	0	0,00%	0	0,00%
01/01/2020	6:30	1	0	0	0	40,993344	0	32,751296	0	0	0	0,00%	0	0,00%
01/01/2020	6:35	1	0	0	0	40,993344	0	32,751296	0	0	0	0,00%	0	0,00%
01/01/2020	6:40	1	0	0	0	40,993344	0	32,751296	0	0	0	0,00%	0	0,00%
01/01/2020	6:45	1	0	0	0	40,993344	0	32,751296	0	0	0	0,00%	0	0,00%
01/01/2020	6:50	1	0	0	0	40,993344	0	32,751296	0	0	0	0,00%	0	0,00%
01/01/2020	6:55	1	0	0	0	40,993344	0	32,751296	0	0	0	0,00%	0	0,00%
01/01/2020	7:00	1	0	0	0	40,993344	0	32,751296	0	0	0	0,00%	0	0,00%
01/01/2020	7:05	1	0	0	0	40,993344	0	32,751296	0	0	0	0,00%	0	0,00%
01/01/2020	7:10	1	0	0	0	40,993344	0	32,751296	0	0	0	0,00%	0	0,00%
