Juny 2020														
Dia	Hora	Temperatura modul	Irradiación (W/m2)	Isc en la radiación (A)	Isc a la temperatura (A)	Voc en la temperatura (V)	Imp temp (A)	Vmp temp (V)	P unitaria temp (W)	Potencia parque calculada con temperatura (kW)	Potencia instantanea inversors (kW)	Diferencia inversors vs Pcalculada	Potencia instanea a comptador	PR  %
1/6/2020	0:05	15	0	0	0	39,13056	0	31,26304	0	0	0	0,00%	0	0,00%
1/6/2020	0:10	15	0	0	0	39,13056	0	31,26304	0	0	0	0,00%	0	0,00%
1/6/2020	0:15	15	0	0	0	39,13056	0	31,26304	0	0	0	0,00%	0	0,00%
1/6/2020	0:20	15	0	0	0	39,13056	0	31,26304	0	0	0	0,00%	0	0,00%
1/6/2020	0:25	15	0	0	0	39,13056	0	31,26304	0	0	0	0,00%	0	0,00%
1/6/2020	0:30	15	0	0	0	39,13056	0	31,26304	0	0	0	0,00%	0	0,00%
1/6/2020	0:35	16	0	0	0	38,997504	0	31,156736	0	0	0	0,00%	0	0,00%
1/6/2020	0:40	16	0	0	0	38,997504	0	31,156736	0	0	0	0,00%	0	0,00%
1/6/2020	0:45	15	0	0	0	39,13056	0	31,26304	0	0	0	0,00%	0	0,00%
1/6/2020	0:50	15	0	0	0	39,13056	0	31,26304	0	0	0	0,00%	0	0,00%
1/6/2020	0:55	16	0	0	0	38,997504	0	31,156736	0	0	0	0,00%	0	0,00%
1/6/2020	1:00	15	0	0	0	39,13056	0	31,26304	0	0	0	0,00%	0	0,00%
1/6/2020	1:05	16	0	0	0	38,997504	0	31,156736	0	0	0	0,00%	0	0,00%
1/6/2020	1:10	16	0	0	0	38,997504	0	31,156736	0	0	0	0,00%	0	0,00%
1/6/2020	1:15	15	0	0	0	39,13056	0	31,26304	0	0	0	0,00%	0	0,00%
1/6/2020	1:20	15	0	0	0	39,13056	0	31,26304	0	0	0	0,00%	0	0,00%
1/6/2020	1:25	15	0	0	0	39,13056	0	31,26304	0	0	0	0,00%	0	0,00%
1/6/2020	1:30	15	0	0	0	39,13056	0	31,26304	0	0	0	0,00%	0	0,00%
1/6/2020	1:35	15	0	0	0	39,13056	0	31,26304	0	0	0	0,00%	0	0,00%
1/6/2020	1:40	15	0	0	0	39,13056	0	31,26304	0	0	0	0,00%	0	0,00%
1/6/2020	1:45	15	0	0	0	39,13056	0	31,26304	0	0	0	0,00%	0	0,00%
1/6/2020	1:50	15	0	0	0	39,13056	0	31,26304	0	0	0	0,00%	0	0,00%
1/6/2020	1:55	15	0	0	0	39,13056	0	31,26304	0	0	0	0,00%	0	0,00%
1/6/2020	2:00	15	0	0	0	39,13056	0	31,26304	0	0	0	0,00%	0	0,00%
1/6/2020	2:05	15	0	0	0	39,13056	0	31,26304	0	0	0	0,00%	0	0,00%
1/6/2020	2:10	15	0	0	0	39,13056	0	31,26304	0	0	0	0,00%	0	0,00%
1/6/2020	2:15	15	0	0	0	39,13056	0	31,26304	0	0	0	0,00%	0	0,00%
1/6/2020	2:20	15	0	0	0	39,13056	0	31,26304	0	0	0	0,00%	0	0,00%
1/6/2020	2:25	15	0	0	0	39,13056	0	31,26304	0	0	0	0,00%	0	0,00%
1/6/2020	2:30	15	0	0	0	39,13056	0	31,26304	0	0	0	0,00%	0	0,00%
1/6/2020	2:35	15	0	0	0	39,13056	0	31,26304	0	0	0	0,00%	0	0,00%
1/6/2020	2:40	15	0	0	0	39,13056	0	31,26304	0	0	0	0,00%	0	0,00%
1/6/2020	2:45	15	0	0	0	39,13056	0	31,26304	0	0	0	0,00%	0	0,00%
