SETEMBRE 2020															
Dia	Hora	Temperatura modul	Irradiación (W/m2)	Isc en el W/m2	Isc temperatura	Voc temp.	Imp temp	Vmp temp	P unitaria temp (W)	Potencia parque calculada con temperatura kW	Potencia parque calculada con temperatura kW con degradación placas	Potencia instantanea inversors kW	Diferencia inversors vs Pcalculada	Potencia instanea a comptador con coefciente entre inversor y contador de la planta	PR  %
1/9/2020	0:05	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	0:10	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	0:15	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	0:20	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	0:25	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	0:30	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	0:35	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	0:40	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	0:45	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	0:50	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	0:55	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	1:00	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	1:05	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	1:10	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	1:15	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	1:20	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	1:25	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	1:30	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	1:35	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	1:40	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	1:45	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	1:50	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	1:55	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	2:00	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	2:05	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	2:10	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
