ABRIL 2021 (DADES REDASH
Dia	Hora	Temperatura modul	Irradiación (W/m2)	Isc en la radiación (A)	Isc a la temperatura (A)	Voc en la temperatura (V)	Imp temp (A)	Vmp temp (V)	P unitaria temp (W)	Potencia parque calculada con temperatura (kW)	Potencia parque calculada con temperatura kW con degradación placas	Potencia corregida comptadors (valor referencia)	Potencia instantanea inversors (W)	Potencia instantanea inversors (kW)	Diferencia inversors vs Pcalculada
2021-04-01	00:00:00+02:00	19,40	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	00:05:00+02:00	19,40	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	00:10:00+02:00	19,20	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	00:15:00+02:00	18,90	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	00:20:00+02:00	19,00	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	00:25:00+02:00	19,10	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	00:30:00+02:00	19,00	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	00:35:00+02:00	19,20	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	00:40:00+02:00	19,20	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	00:45:00+02:00	19,10	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	00:50:00+02:00	18,80	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	00:55:00+02:00	18,70	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	01:00:00+02:00	18,60	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	01:05:00+02:00	18,90	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	01:10:00+02:00	19,20	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	01:15:00+02:00	19,30	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	01:20:00+02:00	19,30	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	01:25:00+02:00	19,40	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	01:30:00+02:00	19,40	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	01:35:00+02:00	19,10	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	01:40:00+02:00	19,20	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	01:45:00+02:00	19,30	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	01:50:00+02:00	19,20	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	01:55:00+02:00	19,10	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	02:00:00+02:00	19,00	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	02:05:00+02:00	18,80	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	02:10:00+02:00	18,80	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	02:15:00+02:00	18,70	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	02:20:00+02:00	18,70	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	02:25:00+02:00	18,50	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	02:30:00+02:00	18,30	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	02:35:00+02:00	18,20	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	02:40:00+02:00	18,10	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	02:45:00+02:00	17,90	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	02:50:00+02:00	17,70	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	02:55:00+02:00	17,50	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	03:00:00+02:00	17,30	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
