
------------------------+----------+-----------------+------------------
          time          | plant_id |   plant_name    | export_energy_wh 
 2013-01-01 00:00:00+01 |        2 | Riudarenes_SM   |          1504000
 2013-01-01 00:00:00+01 |        4 | Riudarenes_BR   |          1635000
 2013-01-01 00:00:00+01 |        5 | Riudarenes_ZE   |           147000
 2013-01-01 00:00:00+01 |       16 | Lleida          |          7488000
 2013-02-01 00:00:00+01 |        2 | Riudarenes_SM   |          1762000
 2013-02-01 00:00:00+01 |        4 | Riudarenes_BR   |          1963000
 2013-02-01 00:00:00+01 |        5 | Riudarenes_ZE   |           920000
 2013-02-01 00:00:00+01 |       16 | Lleida          |          9619000
 2013-03-01 00:00:00+01 |        2 | Riudarenes_SM   |          2508000
 2013-03-01 00:00:00+01 |        4 | Riudarenes_BR   |          2656000
 2013-03-01 00:00:00+01 |        5 | Riudarenes_ZE   |          2179000
 2013-03-01 00:00:00+01 |        9 | Picanya         |         33563000
 2013-03-01 00:00:00+01 |       16 | Lleida          |         13201000
 2013-03-01 00:00:00+01 |       17 | Torrefarrera    |          9525000
 2013-04-01 00:00:00+02 |        2 | Riudarenes_SM   |          2888000
 2013-04-01 00:00:00+02 |        4 | Riudarenes_BR   |          1735000
 2013-04-01 00:00:00+02 |        5 | Riudarenes_ZE   |          2530000
 2013-04-01 00:00:00+02 |        9 | Picanya         |         43476000
 2013-04-01 00:00:00+02 |       16 | Lleida          |         14798000
 2013-04-01 00:00:00+02 |       17 | Torrefarrera    |         15343000
 2013-05-01 00:00:00+02 |        2 | Riudarenes_SM   |          3238000
 2013-05-01 00:00:00+02 |        4 | Riudarenes_BR   |          2771000
 2013-05-01 00:00:00+02 |        5 | Riudarenes_ZE   |          2718000
 2013-05-01 00:00:00+02 |        9 | Picanya         |         55083000
 2013-05-01 00:00:00+02 |       16 | Lleida          |         18661000
 2013-05-01 00:00:00+02 |       17 | Torrefarrera    |         18785000
 2013-06-01 00:00:00+02 |        2 | Riudarenes_SM   |          3766000
 2013-06-01 00:00:00+02 |        4 | Riudarenes_BR   |          3768000
 2013-06-01 00:00:00+02 |        5 | Riudarenes_ZE   |          3106000
 2013-06-01 00:00:00+02 |        9 | Picanya         |         58618000
 2013-06-01 00:00:00+02 |       16 | Lleida          |         18709000
 2013-06-01 00:00:00+02 |       17 | Torrefarrera    |         18877000
 2013-07-01 00:00:00+02 |        2 | Riudarenes_SM   |          3923000
 2013-07-01 00:00:00+02 |        4 | Riudarenes_BR   |          4001000
 2013-07-01 00:00:00+02 |        5 | Riudarenes_ZE   |          3296000
 2013-07-01 00:00:00+02 |        9 | Picanya         |         59148000
 2013-07-01 00:00:00+02 |       16 | Lleida          |         19426000
 2013-07-01 00:00:00+02 |       17 | Torrefarrera    |         19753000
 2013-08-01 00:00:00+02 |        2 | Riudarenes_SM   |          3478000
 2013-08-01 00:00:00+02 |        4 | Riudarenes_BR   |          3670000
 2013-08-01 00:00:00+02 |        5 | Riudarenes_ZE   |          3042000
 2013-08-01 00:00:00+02 |        9 | Picanya         |         45379000
 2013-08-01 00:00:00+02 |       16 | Lleida          |         17395000
 2013-08-01 00:00:00+02 |       17 | Torrefarrera    |         18082000
 2013-09-01 00:00:00+02 |        2 | Riudarenes_SM   |          2807000
 2013-09-01 00:00:00+02 |        4 | Riudarenes_BR   |          3068000
 2013-09-01 00:00:00+02 |        5 | Riudarenes_ZE   |          2583000
 2013-09-01 00:00:00+02 |        9 | Picanya         |         41466000
 2013-09-01 00:00:00+02 |       10 | Torregrossa     |         14550000
 2013-09-01 00:00:00+02 |       16 | Lleida          |         14903000
 2013-09-01 00:00:00+02 |       17 | Torrefarrera    |         16117000
 2013-10-01 00:00:00+02 |        2 | Riudarenes_SM   |          2063000
 2013-10-01 00:00:00+02 |        4 | Riudarenes_BR   |          2368000
 2013-10-01 00:00:00+02 |        5 | Riudarenes_ZE   |          2087000
 2013-10-01 00:00:00+02 |        9 | Picanya         |         33766000
 2013-10-01 00:00:00+02 |       10 | Torregrossa     |         49730000
 2013-10-01 00:00:00+02 |       16 | Lleida          |         11419000
 2013-10-01 00:00:00+02 |       17 | Torrefarrera    |         12678000
 2013-11-01 00:00:00+01 |        2 | Riudarenes_SM   |          1459000
 2013-11-01 00:00:00+01 |        4 | Riudarenes_BR   |          1678000
 2013-11-01 00:00:00+01 |        5 | Riudarenes_ZE   |          1732000
 2013-11-01 00:00:00+01 |        9 | Picanya         |         22639000
 2013-11-01 00:00:00+01 |       10 | Torregrossa     |         58230000
 2013-11-01 00:00:00+01 |       16 | Lleida          |          7673000
 2013-11-01 00:00:00+01 |       17 | Torrefarrera    |          9765000
 2013-12-01 00:00:00+01 |        2 | Riudarenes_SM   |          1230000
 2013-12-01 00:00:00+01 |        4 | Riudarenes_BR   |          1272000
 2013-12-01 00:00:00+01 |        5 | Riudarenes_ZE   |          1556000
 2013-12-01 00:00:00+01 |        9 | Picanya         |         16910000
 2013-12-01 00:00:00+01 |       10 | Torregrossa     |         79060000
 2013-12-01 00:00:00+01 |       16 | Lleida          |          4335000
 2013-12-01 00:00:00+01 |       17 | Torrefarrera    |          5618000
 2014-01-01 00:00:00+01 |        2 | Riudarenes_SM   |          1233000
 2014-01-01 00:00:00+01 |        4 | Riudarenes_BR   |          1333000
 2014-01-01 00:00:00+01 |        5 | Riudarenes_ZE   |          1447000
 2014-01-01 00:00:00+01 |        9 | Picanya         |         19937000
 2014-01-01 00:00:00+01 |       10 | Torregrossa     |        136430000
 2014-01-01 00:00:00+01 |       14 | Manlleu_Piscina |          5471000
 2014-01-01 00:00:00+01 |       15 | Manlleu_Pavello |          5319000
 2014-01-01 00:00:00+01 |       16 | Lleida          |          5973000
 2014-01-01 00:00:00+01 |       17 | Torrefarrera    |          7628000
 2014-02-01 00:00:00+01 |        2 | Riudarenes_SM   |          1756000
 2014-02-01 00:00:00+01 |        4 | Riudarenes_BR   |          2035000
 2014-02-01 00:00:00+01 |        5 | Riudarenes_ZE   |          1888000
 2014-02-01 00:00:00+01 |        9 | Picanya         |         19115000
 2014-02-01 00:00:00+01 |       10 | Torregrossa     |        221630000
 2014-02-01 00:00:00+01 |       14 | Manlleu_Piscina |          7825000
 2014-02-01 00:00:00+01 |       15 | Manlleu_Pavello |          7459000
 2014-02-01 00:00:00+01 |       16 | Lleida          |          8388000
 2014-02-01 00:00:00+01 |       17 | Torrefarrera    |          9861000
 2014-03-01 00:00:00+01 |        2 | Riudarenes_SM   |          2874000
 2014-03-01 00:00:00+01 |        4 | Riudarenes_BR   |          3136000
 2014-03-01 00:00:00+01 |        5 | Riudarenes_ZE   |          2745000
 2014-03-01 00:00:00+01 |        9 | Picanya         |         39086000
 2014-03-01 00:00:00+01 |       10 | Torregrossa     |        281020000
 2014-03-01 00:00:00+01 |       14 | Manlleu_Piscina |         13175000
 2014-03-01 00:00:00+01 |       15 | Manlleu_Pavello |         10156000
 2014-03-01 00:00:00+01 |       16 | Lleida          |         13359000
 2014-03-01 00:00:00+01 |       17 | Torrefarrera    |         15651000
 2014-04-01 00:00:00+02 |        2 | Riudarenes_SM   |          3041000
 2014-04-01 00:00:00+02 |        4 | Riudarenes_BR   |          3218000
 2014-04-01 00:00:00+02 |        5 | Riudarenes_ZE   |          2757000
 2014-04-01 00:00:00+02 |        9 | Picanya         |         47103000
 2014-04-01 00:00:00+02 |       10 | Torregrossa     |        132940000
 2014-04-01 00:00:00+02 |       14 | Manlleu_Piscina |         13282000
 2014-04-01 00:00:00+02 |       15 | Manlleu_Pavello |         12426000
 2014-04-01 00:00:00+02 |       16 | Lleida          |         15532000
 2014-04-01 00:00:00+02 |       17 | Torrefarrera    |         16979000
 2014-05-01 00:00:00+02 |        2 | Riudarenes_SM   |          3274000
 2014-05-01 00:00:00+02 |        4 | Riudarenes_BR   |          3352000
 2014-05-01 00:00:00+02 |        5 | Riudarenes_ZE   |          2865000
 2014-05-01 00:00:00+02 |        9 | Picanya         |         53774000
 2014-05-01 00:00:00+02 |       10 | Torregrossa     |         47660000
 2014-05-01 00:00:00+02 |       14 | Manlleu_Piscina |         14393000
 2014-05-01 00:00:00+02 |       15 | Manlleu_Pavello |         15100000
 2014-05-01 00:00:00+02 |       16 | Lleida          |         17221000
 2014-05-01 00:00:00+02 |       17 | Torrefarrera    |         18523000
 2014-06-01 00:00:00+02 |        2 | Riudarenes_SM   |          3262000
 2014-06-01 00:00:00+02 |        4 | Riudarenes_BR   |          3307000
 2014-06-01 00:00:00+02 |        5 | Riudarenes_ZE   |          2802000
 2014-06-01 00:00:00+02 |        9 | Picanya         |         51468000
 2014-06-01 00:00:00+02 |       10 | Torregrossa     |         36210000
 2014-06-01 00:00:00+02 |       14 | Manlleu_Piscina |         14401000
 2014-06-01 00:00:00+02 |       15 | Manlleu_Pavello |         16069000
 2014-06-01 00:00:00+02 |       16 | Lleida          |         17200000
 2014-06-01 00:00:00+02 |       17 | Torrefarrera    |         18651000
 2014-07-01 00:00:00+02 |        2 | Riudarenes_SM   |          3288000
 2014-07-01 00:00:00+02 |        4 | Riudarenes_BR   |          3376000
 2014-07-01 00:00:00+02 |        5 | Riudarenes_ZE   |          2841000
 2014-07-01 00:00:00+02 |        9 | Picanya         |         54188000
 2014-07-01 00:00:00+02 |       10 | Torregrossa     |         45180000
 2014-07-01 00:00:00+02 |       14 | Manlleu_Piscina |         14725000
 2014-07-01 00:00:00+02 |       15 | Manlleu_Pavello |         15846000
 2014-07-01 00:00:00+02 |       16 | Lleida          |         17501000
 2014-07-01 00:00:00+02 |       17 | Torrefarrera    |         18764000
 2014-08-01 00:00:00+02 |        2 | Riudarenes_SM   |          3071000
 2014-08-01 00:00:00+02 |        4 | Riudarenes_BR   |          3230000
 2014-08-01 00:00:00+02 |        5 | Riudarenes_ZE   |          2721000
 2014-08-01 00:00:00+02 |        9 | Picanya         |         44739000
 2014-08-01 00:00:00+02 |       10 | Torregrossa     |         31410000
 2014-08-01 00:00:00+02 |       14 | Manlleu_Piscina |         13417000
 2014-08-01 00:00:00+02 |       15 | Manlleu_Pavello |         14116000
 2014-08-01 00:00:00+02 |       16 | Lleida          |         16274000
 2014-08-01 00:00:00+02 |       17 | Torrefarrera    |         17467000
 2014-09-01 00:00:00+02 |        2 | Riudarenes_SM   |          2464000
 2014-09-01 00:00:00+02 |        4 | Riudarenes_BR   |          2681000
 2014-09-01 00:00:00+02 |        5 | Riudarenes_ZE   |          2200000
 2014-09-01 00:00:00+02 |        9 | Picanya         |         34902000
 2014-09-01 00:00:00+02 |       10 | Torregrossa     |         15740000
 2014-09-01 00:00:00+02 |       14 | Manlleu_Piscina |         10569000
 2014-09-01 00:00:00+02 |       15 | Manlleu_Pavello |         10913000
 2014-09-01 00:00:00+02 |       16 | Lleida          |         12234000
 2014-09-01 00:00:00+02 |       17 | Torrefarrera    |         13689000
 2014-10-01 00:00:00+02 |        2 | Riudarenes_SM   |          2349000
 2014-10-01 00:00:00+02 |        4 | Riudarenes_BR   |          2746000
 2014-10-01 00:00:00+02 |        5 | Riudarenes_ZE   |          1558000
 2014-10-01 00:00:00+02 |        9 | Picanya         |         30799000
 2014-10-01 00:00:00+02 |       10 | Torregrossa     |         58420000
 2014-10-01 00:00:00+02 |       14 | Manlleu_Piscina |         10430000
 2014-10-01 00:00:00+02 |       15 | Manlleu_Pavello |         10152000
 2014-10-01 00:00:00+02 |       16 | Lleida          |          7492000
 2014-10-01 00:00:00+02 |       17 | Torrefarrera    |         11145000
